time	I(D)	I(L1)	I(a)
3.132142857143007e-003	1.237218e+002	8.825562e+000	6.748862e+000
3.141306456249264e-003	1.262061e+002	9.131234e+000	9.146234e+000
3.227020741963576e-003	1.303645e+002	1.302562e+001	1.304062e+001
3.312735027677888e-003	1.343936e+002	1.679894e+001	1.681394e+001
3.398449313392200e-003	1.382934e+002	2.045120e+001	2.046619e+001
3.484163599106512e-003	1.420639e+002	2.398239e+001	2.399739e+001
3.569877884820824e-003	1.457052e+002	2.739252e+001	2.740752e+001
3.655592170535136e-003	1.492172e+002	3.068159e+001	3.069659e+001
3.741306456249448e-003	1.525999e+002	3.384960e+001	3.386460e+001
3.751306456249451e-003	1.146557e+002	3.415096e+001	3.416596e+001
3.761306456249454e-003	3.828093e+001	3.426400e+001	3.427900e+001
3.771306456249457e-003	4.500000e-002	3.418945e+001	3.420445e+001
3.809523809523881e-003	4.500000e-002	3.367013e+001	3.368513e+001
3.844523809523888e-003	4.500000e-002	3.320170e+001	3.321670e+001
3.854523809523891e-003	3.683076e+001	3.313140e+001	3.314640e+001
3.864523809523894e-003	1.105048e+002	3.324851e+001	3.326351e+001
3.874523809523897e-003	1.475976e+002	3.355227e+001	3.356727e+001
3.951666666666778e-003	1.506992e+002	3.632381e+001	3.633881e+001
4.028809523809658e-003	1.537132e+002	3.901706e+001	3.903206e+001
4.105952380952540e-003	1.566395e+002	4.163202e+001	4.164702e+001
4.183095238095421e-003	1.594783e+002	4.416870e+001	4.418370e+001
4.260238095238301e-003	1.622294e+002	4.662708e+001	4.664208e+001
4.337380952381182e-003	1.648929e+002	4.900718e+001	4.902218e+001
4.414523809524062e-003	1.674688e+002	5.130899e+001	5.132399e+001
4.424523809524066e-003	1.388140e+002	5.166534e+001	5.168034e+001
4.434523809524069e-003	8.128986e+001	5.220738e+001	5.222238e+001
4.444523809524072e-003	5.297939e+001	5.293439e+001	5.294939e+001
4.554523809524105e-003	6.145983e+001	6.141483e+001	6.142983e+001
4.564523809524108e-003	4.648298e+001	6.204267e+001	4.645111e+001
4.574523809524111e-003	1.558704e+001	6.229375e+001	1.555142e+001
4.584523809524115e-003	4.500000e-002	6.216957e+001	7.500622e-003
4.761904761904835e-003	4.500000e-002	5.790700e+001	7.500580e-003
4.926904761904882e-003	4.500000e-002	5.420517e+001	7.500543e-003
4.936904761904885e-003	1.361290e+001	5.411331e+001	1.357728e+001
4.946904761904888e-003	4.094399e+001	5.439608e+001	4.091212e+001
4.956904761904891e-003	5.509696e+001	5.505196e+001	5.506696e+001
5.116904761904940e-003	6.717899e+001	6.713399e+001	6.714899e+001
5.126904761904944e-003	8.614886e+001	6.780135e+001	6.781635e+001
5.136904761904947e-003	1.232831e+002	6.827892e+001	6.829391e+001
5.146904761904950e-003	1.420288e+002	6.856744e+001	6.858244e+001
5.215476190476400e-003	1.449422e+002	7.008972e+001	7.010472e+001
5.284047619047849e-003	1.477818e+002	7.157340e+001	7.158840e+001
5.352619047619299e-003	1.505476e+002	7.301850e+001	7.303349e+001
5.421190476190748e-003	1.532394e+002	7.442500e+001	7.443999e+001
5.489761904762198e-003	1.558575e+002	7.579291e+001	7.580790e+001
5.558333333333648e-003	1.584016e+002	7.712222e+001	7.713722e+001
5.626904761905097e-003	1.608719e+002	7.841295e+001	7.842795e+001
5.636904761905100e-003	1.208431e+002	7.853623e+001	7.855123e+001
