time	I(L1)	I(a)
1.749668422001478e-003	2.559427e+000	2.574427e+000
1.779668422001487e-003	4.946602e+000	4.961602e+000
1.801096993430066e-003	6.606572e+000	6.621571e+000
1.822525564858644e-003	8.233110e+000	8.248110e+000
1.843954136287221e-003	9.826218e+000	9.841217e+000
1.865382707715799e-003	1.138589e+001	1.140089e+001
1.886811279144378e-003	1.291214e+001	1.292714e+001
1.908239850572955e-003	1.440496e+001	1.441996e+001
1.929668422001533e-003	1.586434e+001	1.587934e+001
1.939668422001536e-003	1.643192e+001	1.644692e+001
1.949668422001540e-003	1.668290e+001	1.669790e+001
1.959668422001543e-003	1.662044e+001	1.663544e+001
2.000204032523031e-003	1.595936e+001	1.597436e+001
2.042854048945969e-003	1.529295e+001	1.530795e+001
2.052854048945972e-003	1.524432e+001	1.525932e+001
2.062854048945975e-003	1.550713e+001	1.552213e+001
2.072854048945978e-003	1.607827e+001	1.609327e+001
2.105711191803131e-003	1.824641e+001	1.826141e+001
2.138568334660284e-003	2.034972e+001	2.036472e+001
2.171425477517437e-003	2.238820e+001	2.240319e+001
2.204282620374590e-003	2.436184e+001	2.437684e+001
2.237139763231743e-003	2.627066e+001	2.628566e+001
2.269996906088896e-003	2.811465e+001	2.812965e+001
2.302854048946049e-003	2.989380e+001	2.990880e+001
2.312854048946052e-003	3.021804e+001	2.270024e+001
2.322854048946055e-003	2.991717e+001	7.616041e+000
2.332854048946058e-003	2.899740e+001	7.500290e-003
2.362854048946067e-003	2.567696e+001	7.500257e-003
2.372854048946070e-003	2.469576e+001	7.500248e-003
2.382854048946073e-003	2.403527e+001	7.500241e-003
2.392854048946076e-003	2.369231e+001	7.500237e-003
2.500000000000079e-003	2.128297e+001	7.500214e-003
2.615000000000110e-003	1.896993e+001	7.500190e-003
2.625000000000113e-003	1.867740e+001	7.500187e-003
2.635000000000116e-003	1.807684e+001	7.500181e-003
2.645000000000120e-003	1.717132e+001	7.500172e-003
2.655000000000123e-003	1.617116e+001	7.500162e-003
2.665000000000126e-003	1.538826e+001	3.766217e+000
2.675000000000129e-003	1.523504e+001	1.145354e+001
2.685000000000132e-003	1.570524e+001	1.572024e+001
2.720714285714428e-003	1.807061e+001	1.808561e+001
2.756428571428725e-003	2.035971e+001	2.037470e+001
2.792142857143022e-003	2.257253e+001	2.258753e+001
2.827857142857318e-003	2.470909e+001	2.472409e+001
2.863571428571615e-003	2.676937e+001	2.678437e+001
2.899285714285912e-003	2.875338e+001	2.876838e+001
2.935000000000208e-003	3.066112e+001	3.067612e+001
2.945000000000211e-003	3.108137e+001	3.109636e+001
2.955000000000214e-003	3.118649e+001	3.120148e+001
2.965000000000218e-003	3.097961e+001	3.099461e+001
3.000305473803991e-003	2.990349e+001	2.991849e+001
3.039550323485851e-003	2.875262e+001	2.876762e+001
3.049550323485854e-003	2.856998e+001	2.858498e+001
3.059550323485857e-003	2.870011e+001	2.871511e+001
3.069550323485860e-003	2.913988e+001	2.915488e+001
3.108121752057301e-003	3.118273e+001	3.119773e+001
3.146693180628741e-003	3.315499e+001	3.316999e+001
3.185264609200182e-003	3.505667e+001	3.507167e+001
3.223836037771622e-003	3.688777e+001	3.690277e+001
3.262407466343062e-003	3.864828e+001	3.866328e+001
3.300978894914503e-003	4.033821e+001	4.035321e+001
3.339550323485943e-003	4.195756e+001	4.197256e+001
3.349550323485946e-003	4.226533e+001	3.168777e+001
3.359550323485949e-003	4.225909e+001	1.060188e+001
3.369550323485952e-003	4.194197e+001	7.500420e-003
3.500000000000086e-003	3.680834e+001	7.500369e-003
3.631484039288438e-003	3.227125e+001	7.500323e-003
3.641484039288441e-003	3.215723e+001	8.124425e+000
3.651484039288444e-003	3.256258e+001	2.458842e+001
3.661484039288447e-003	3.327484e+001	3.328984e+001
3.671484039288450e-003	3.387636e+001	3.389136e+001
3.708626896431319e-003	3.567313e+001	3.568813e+001
3.745769753574187e-003	3.740989e+001	3.742489e+001
3.782912610717056e-003	3.908664e+001	3.910164e+001
3.820055467859924e-003	4.070336e+001	4.071836e+001
3.857198325002793e-003	4.226007e+001	4.227507e+001
3.894341182145661e-003	4.375676e+001	4.377175e+001
3.931484039288530e-003	4.519343e+001	4.520842e+001
3.941484039288533e-003	4.546898e+001	4.548398e+001
3.951484039288536e-003	4.543084e+001	4.544584e+001
3.961484039288539e-003	4.508215e+001	4.509715e+001
4.000000000000087e-003	4.337656e+001	4.339156e+001
4.035000000000094e-003	4.188473e+001	4.189973e+001
4.045000000000097e-003	4.157133e+001	4.158633e+001
4.055000000000100e-003	4.157201e+001	4.158701e+001
4.065000000000103e-003	4.188362e+001	4.189862e+001
4.099285714285828e-003	4.327595e+001	4.329095e+001
4.133571428571553e-003	4.462501e+001	4.464001e+001
4.167857142857278e-003	4.593081e+001	4.594580e+001
4.202142857143002e-003	4.719333e+001	4.720833e+001
4.236428571428728e-003	4.841257e+001	4.842757e+001
4.270714285714452e-003	4.958855e+001	4.960355e+001
4.305000000000177e-003	5.072126e+001	5.073626e+001
4.315000000000180e-003	5.114907e+001	5.116407e+001
4.325000000000183e-003	5.188356e+001	5.189856e+001
4.335000000000186e-003	5.292169e+001	5.293668e+001
4.365000000000195e-003	5.628231e+001	5.629731e+001
4.375000000000198e-003	5.717299e+001	4.277590e+001
4.385000000000201e-003	5.743291e+001	1.435513e+001
4.395000000000204e-003	5.706836e+001	7.500571e-003
4.410000000000273e-003	5.621879e+001	7.500563e-003
4.425000000000341e-003	5.538131e+001	7.500554e-003
4.440000000000410e-003	5.455591e+001	7.500546e-003
4.455000000000479e-003	5.374259e+001	7.500538e-003
4.470000000000547e-003	5.294135e+001	7.500530e-003
4.485000000000615e-003	5.215219e+001	7.500522e-003
4.500000000000684e-003	5.137511e+001	7.500514e-003
4.500000000002702e-003	5.137511e+001	7.500514e-003
4.500000000004718e-003	5.137511e+001	7.500514e-003
4.500000000006736e-003	5.137511e+001	7.500514e-003
4.500000000008753e-003	5.137511e+001	7.500514e-003
4.500000000010771e-003	5.137511e+001	7.500514e-003
4.500000000012787e-003	5.137511e+001	7.500514e-003
4.500000000014805e-003	5.137511e+001	7.500514e-003
4.500000000015506e-003	5.137511e+001	7.500514e-003
4.500000000016336e-003	5.137511e+001	7.500514e-003
4.500000000017165e-003	5.137511e+001	7.500514e-003
4.500000000017995e-003	5.137511e+001	7.500514e-003
4.500000000018824e-003	5.137511e+001	7.500514e-003
4.500000000019654e-003	5.137511e+001	7.500514e-003
4.500000000020483e-003	5.137511e+001	7.500514e-003
4.500000000021313e-003	5.137511e+001	7.500514e-003
4.500000000050144e-003	5.137511e+001	7.500514e-003
4.500000000078976e-003	5.137511e+001	7.500514e-003
4.500000000107807e-003	5.137511e+001	7.500514e-003
4.500000000136638e-003	5.137511e+001	7.500514e-003
4.500000000165469e-003	5.137511e+001	7.500514e-003
4.500000000194300e-003	5.137511e+001	7.500514e-003
4.500000000223131e-003	5.137511e+001	7.500514e-003
4.500000001658254e-003	5.137511e+001	7.500514e-003
4.500000003298393e-003	5.137511e+001	7.500514e-003
4.500000242759138e-003	5.137510e+001	7.500514e-003
4.500000482219884e-003	5.137509e+001	7.500514e-003
4.500000721680628e-003	5.137508e+001	7.500514e-003
4.500000961141373e-003	5.137507e+001	7.500514e-003
4.500001200602117e-003	5.137505e+001	7.500514e-003
4.500001440062863e-003	5.137504e+001	7.500514e-003
4.500001679523608e-003	5.137503e+001	7.500514e-003
4.603758509055977e-003	4.630965e+001	7.500464e-003
4.613758509055981e-003	4.605585e+001	1.156440e+001
4.623758509055984e-003	4.642647e+001	3.497774e+001
4.633758509055987e-003	4.741528e+001	4.743027e+001
4.673758509055999e-003	5.208993e+001	5.210493e+001
4.683758509056002e-003	5.312600e+001	5.314100e+001
4.693758509056005e-003	5.384081e+001	5.385580e+001
4.703758509056008e-003	5.423756e+001	5.425256e+001
4.735187080484589e-003	5.513460e+001	5.514960e+001
4.766615651913170e-003	5.600589e+001	5.602088e+001
4.798044223341751e-003	5.685141e+001	5.686641e+001
4.829472794770333e-003	5.767118e+001	5.768617e+001
4.860901366198913e-003	5.846519e+001	5.848018e+001
4.892329937627495e-003	5.923343e+001	5.924843e+001
4.923758509056075e-003	5.997592e+001	5.999092e+001
4.933758509056078e-003	6.010429e+001	6.011929e+001
4.943758509056082e-003	5.992043e+001	5.993543e+001
4.953758509056085e-003	5.942746e+001	5.944246e+001
5.000000000000088e-003	5.673882e+001	5.675382e+001
5.045000000000098e-003	5.424191e+001	5.425691e+001
5.055000000000101e-003	5.380548e+001	5.382048e+001
5.065000000000104e-003	5.368434e+001	5.369934e+001
5.075000000000107e-003	5.387535e+001	5.389035e+001
5.103571428571545e-003	5.470251e+001	5.471751e+001
5.132142857142982e-003	5.550790e+001	5.552290e+001
5.160714285714419e-003	5.629153e+001	5.630652e+001
5.189285714285856e-003	5.705339e+001	5.706838e+001
5.217857142857294e-003	5.779348e+001	5.780848e+001
5.246428571428732e-003	5.851180e+001	5.852680e+001
5.275000000000168e-003	5.920836e+001	5.922336e+001
5.285000000000172e-003	5.955167e+001	5.956667e+001
5.295000000000175e-003	6.020250e+001	6.021749e+001
5.305000000000178e-003	6.115779e+001	6.117279e+001
5.385000000000202e-003	6.926642e+001	6.928142e+001
5.395000000000205e-003	7.002782e+001	5.244910e+001
5.405000000000208e-003	7.015974e+001	1.756875e+001
5.415000000000211e-003	6.966847e+001	7.500697e-003
5.500000000000088e-003	6.398607e+001	7.500641e-003
5.500000000000831e-003	6.398607e+001	7.500641e-003
5.500000000001726e-003	6.398607e+001	7.500641e-003
5.500000000005477e-003	6.398607e+001	7.500641e-003
5.500000000009228e-003	6.398607e+001	7.500641e-003
5.500000000012979e-003	6.398607e+001	7.500641e-003
5.500000000016729e-003	6.398607e+001	7.500641e-003
5.500000000020481e-003	6.398607e+001	7.500641e-003
5.500000000024231e-003	6.398607e+001	7.500641e-003
5.500000000027983e-003	6.398607e+001	7.500641e-003
5.500000000036337e-003	6.398607e+001	7.500641e-003
5.500000000037991e-003	6.398607e+001	7.500641e-003
5.500000000039646e-003	6.398607e+001	7.500641e-003
5.500000000041300e-003	6.398607e+001	7.500641e-003
5.500000000042955e-003	6.398607e+001	7.500641e-003
5.500000000044609e-003	6.398607e+001	7.500641e-003
5.500000000046264e-003	6.398607e+001	7.500641e-003
5.500000000047918e-003	6.398607e+001	7.500641e-003
5.500000000049521e-003	6.398607e+001	7.500641e-003
5.500000000059131e-003	6.398607e+001	7.500641e-003
5.500000000097573e-003	6.398607e+001	7.500641e-003
5.500000000276964e-003	6.398607e+001	7.500641e-003
5.500000000328222e-003	6.398607e+001	7.500641e-003
5.500000000456355e-003	6.398607e+001	7.500641e-003
5.500000000815138e-003	6.398607e+001	7.500641e-003
5.500000001225171e-003	6.398607e+001	7.500641e-003
5.500000003685383e-003	6.398607e+001	7.500641e-003
5.500000063199111e-003	6.398607e+001	7.500641e-003
5.500000122712838e-003	6.398606e+001	7.500641e-003
5.500000182226565e-003	6.398606e+001	7.500641e-003
5.500000241740292e-003	6.398606e+001	7.500641e-003
5.500000301254020e-003	6.398605e+001	7.500641e-003
5.500000360767747e-003	6.398605e+001	7.500641e-003
5.500000420281474e-003	6.398605e+001	7.500641e-003
5.583758509442961e-003	5.884315e+001	7.500589e-003
5.593758509442964e-003	5.846456e+001	1.463561e+001
5.603758509442967e-003	5.871162e+001	4.416079e+001
5.613758509442970e-003	5.957811e+001	5.959311e+001
5.626615652300117e-003	6.094510e+001	6.096010e+001
5.639472795157264e-003	6.229516e+001	6.231016e+001
5.652329938014411e-003	6.362828e+001	6.364328e+001
5.665187080871557e-003	6.494448e+001	6.495948e+001
5.678044223728704e-003	6.624374e+001	6.625874e+001
5.690901366585851e-003	6.752607e+001	6.754107e+001
5.703758509442998e-003	6.879147e+001	6.880647e+001
5.713758509443001e-003	6.966125e+001	6.967625e+001
5.723758509443004e-003	7.021143e+001	7.022642e+001
5.733758509443007e-003	7.044518e+001	7.046017e+001
5.759472795157301e-003	7.077066e+001	7.078565e+001
5.785187080871594e-003	7.108837e+001	7.110337e+001
5.810901366585888e-003	7.139832e+001	7.141332e+001
5.836615652300182e-003	7.170049e+001	7.171549e+001
5.862329938014475e-003	7.199490e+001	7.200990e+001
5.888044223728768e-003	7.228153e+001	7.229653e+001
5.913758509443062e-003	7.256039e+001	7.257539e+001
5.923758509443065e-003	7.256345e+001	7.257845e+001
5.933758509443068e-003	7.225554e+001	7.227054e+001
5.943758509443071e-003	7.163976e+001	7.165475e+001
6.000000000000089e-003	6.771757e+001	6.773257e+001
6.055000000000102e-003	6.409294e+001	6.410793e+001
6.065000000000105e-003	6.355842e+001	6.357342e+001
6.075000000000108e-003	6.334017e+001	6.335517e+001
6.085000000000111e-003	6.343504e+001	6.345004e+001
6.107857142857261e-003	6.388319e+001	6.389819e+001
6.130714285714411e-003	6.432175e+001	6.433675e+001
6.153571428571561e-003	6.475072e+001	6.476572e+001
6.176428571428710e-003	6.517011e+001	6.518511e+001
6.199285714285860e-003	6.557991e+001	6.559491e+001
6.222142857143010e-003	6.598012e+001	6.599512e+001
6.245000000000160e-003	6.637074e+001	6.638574e+001
6.255000000000163e-003	6.664273e+001	6.665773e+001
6.265000000000166e-003	6.722296e+001	6.723796e+001
6.275000000000169e-003	6.810835e+001	6.812335e+001
6.293571428571604e-003	6.991950e+001	6.993450e+001
6.312142857143038e-003	7.169878e+001	7.171378e+001
6.330714285714472e-003	7.344619e+001	7.346119e+001
6.349285714285906e-003	7.516173e+001	7.517673e+001
6.367857142857341e-003	7.684540e+001	7.686039e+001
6.386428571428775e-003	7.849719e+001	7.851219e+001
6.405000000000209e-003	8.011711e+001	8.013211e+001
6.415000000000212e-003	8.077046e+001	6.053289e+001
6.425000000000215e-003	8.079543e+001	2.025435e+001
6.435000000000218e-003	8.019826e+001	7.500803e-003
6.444285714285872e-003	7.945684e+001	7.500795e-003
6.453571428571525e-003	7.872198e+001	7.500788e-003
6.462857142857178e-003	7.799368e+001	7.500781e-003
6.472142857142831e-003	7.727193e+001	7.500773e-003
6.481428571428484e-003	7.655673e+001	7.500766e-003
6.490714285714137e-003	7.584809e+001	7.500759e-003
6.499999999999791e-003	7.514600e+001	7.500752e-003
6.500000000001879e-003	7.514600e+001	7.500752e-003
6.500000000009484e-003	7.514600e+001	7.500752e-003
6.500000000015452e-003	7.514600e+001	7.500752e-003
6.500000000032161e-003	7.514600e+001	7.500752e-003
6.500000000051256e-003	7.514600e+001	7.500752e-003
6.500000000089448e-003	7.514600e+001	7.500752e-003
6.500000000165832e-003	7.514600e+001	7.500752e-003
6.500000001235198e-003	7.514600e+001	7.500752e-003
6.500000002457332e-003	7.514600e+001	7.500752e-003
6.560251998914447e-003	7.075091e+001	7.500708e-003
6.570251998914450e-003	7.025375e+001	1.755349e+001
6.580251998914453e-003	7.038343e+001	5.288538e+001
6.590251998914457e-003	7.113371e+001	7.114870e+001
6.611680570343034e-003	7.315585e+001	7.317085e+001
6.633109141771613e-003	7.513728e+001	7.515228e+001
6.654537713200190e-003	7.707798e+001	7.709298e+001
6.675966284628769e-003	7.897796e+001	7.899295e+001
6.697394856057346e-003	8.083721e+001	8.085221e+001
6.718823427485925e-003	8.265573e+001	8.267073e+001
6.740251998914502e-003	8.443353e+001	8.444853e+001
6.750251998914505e-003	8.520528e+001	8.522028e+001
6.753200083514592e-003	8.533904e+001	8.535404e+001
6.756204096842605e-003	8.536380e+001	8.537880e+001
6.763097233791524e-003	8.534948e+001	8.536447e+001
6.770430132859655e-003	8.533435e+001	8.534935e+001
6.780430132859658e-003	8.531389e+001	8.532889e+001
6.800430132859664e-003	8.527354e+001	8.528854e+001
6.830430132859673e-003	8.521452e+001	8.522952e+001
6.840430132859676e-003	8.519524e+001	8.521024e+001
6.850430132859679e-003	8.517615e+001	8.519115e+001
6.860430132859682e-003	8.515725e+001	8.517225e+001
6.870430132859685e-003	8.513853e+001	8.515353e+001
6.880430132859688e-003	8.512000e+001	8.513500e+001
6.890430132859692e-003	8.510166e+001	8.511666e+001
6.900430132859695e-003	8.508350e+001	8.509850e+001
6.910430132859698e-003	8.496188e+001	8.497688e+001
6.920430132859701e-003	8.453052e+001	8.454552e+001
6.930430132859704e-003	8.379251e+001	8.380750e+001
7.000000000000090e-003	7.815560e+001	7.817060e+001
7.064354800710652e-003	7.328303e+001	7.329803e+001
7.074354800710656e-003	7.265701e+001	7.267201e+001
7.084354800710659e-003	7.234817e+001	7.236317e+001
7.094354800710662e-003	7.235334e+001	7.236834e+001
7.111497657853524e-003	7.253902e+001	7.255401e+001
7.128640514996386e-003	7.272166e+001	7.273666e+001
7.145783372139248e-003	7.290128e+001	7.291628e+001
7.162926229282112e-003	7.307787e+001	7.309287e+001
7.180069086424974e-003	7.325143e+001	7.326643e+001
7.197211943567836e-003	7.342196e+001	7.343696e+001
7.214354800710698e-003	7.358946e+001	7.360446e+001
7.224354800710701e-003	7.378958e+001	7.380457e+001
7.234354800710705e-003	7.429865e+001	7.431364e+001
7.244354800710708e-003	7.511359e+001	7.512858e+001
7.270069086425001e-003	7.743279e+001	7.744778e+001
7.295783372139294e-003	7.969670e+001	7.971169e+001
7.321497657853588e-003	8.190532e+001	8.192031e+001
7.347211943567882e-003	8.405866e+001	8.407365e+001
7.372926229282176e-003	8.615670e+001	8.617170e+001
7.398640514996469e-003	8.819946e+001	8.821446e+001
7.424354800710763e-003	9.018694e+001	9.020193e+001
7.429911258624855e-003	9.061103e+001	9.062603e+001
7.433787972420100e-003	9.083905e+001	6.406723e+001
7.436488444923513e-003	9.082685e+001	2.349683e+001
7.439376040157535e-003	9.062277e+001	7.500907e-003
7.500000000000090e-003	8.528850e+001	7.500853e-003
7.559673352768567e-003	8.034544e+001	7.500804e-003
7.563313987184288e-003	8.011622e+001	2.326409e+001
7.565940398214961e-003	8.011851e+001	5.906746e+001
7.568857936157220e-003	8.031308e+001	8.032808e+001
7.571943698934297e-003	8.057888e+001	8.059388e+001
7.575827506776676e-003	8.091190e+001	8.092689e+001
7.583595122461428e-003	8.157400e+001	8.158900e+001
7.603595122461435e-003	8.325740e+001	8.327240e+001
7.633595122461444e-003	8.572087e+001	8.573587e+001
7.653595122461450e-003	8.732105e+001	8.733605e+001
7.673595122461456e-003	8.889104e+001	8.890603e+001
7.693595122461462e-003	9.043081e+001	9.044581e+001
7.713595122461468e-003	9.194039e+001	9.195538e+001
7.733595122461474e-003	9.341976e+001	9.343476e+001
7.753595122461481e-003	9.486893e+001	9.488393e+001
7.773595122461487e-003	9.628790e+001	9.630290e+001
7.783595122461490e-003	9.688390e+001	9.689890e+001
7.793595122461493e-003	9.716302e+001	9.717802e+001
7.803595122461496e-003	9.712842e+001	9.714342e+001
7.815023693890071e-003	9.697097e+001	9.698597e+001
7.826452265318645e-003	9.681526e+001	9.683026e+001
7.837880836747220e-003	9.666130e+001	9.667630e+001
7.849309408175796e-003	9.650907e+001	9.652407e+001
7.860737979604371e-003	9.635859e+001	9.637359e+001
7.872166551032945e-003	9.620985e+001	9.622485e+001
7.883595122461520e-003	9.606284e+001	9.607784e+001
7.893595122461523e-003	9.583189e+001	9.584689e+001
7.903595122461526e-003	9.529230e+001	9.530730e+001
7.913595122461530e-003	9.444714e+001	9.446214e+001
8.000000000000090e-003	8.662186e+001	8.663685e+001
8.085000000000113e-003	7.956071e+001	7.957571e+001
8.095000000000116e-003	7.887218e+001	7.888718e+001
8.105000000000119e-003	7.849632e+001	7.851131e+001
8.114061098324528e-003	7.844086e+001	7.845586e+001
8.129718591408749e-003	7.851604e+001	7.853104e+001
8.139718591408753e-003	7.856343e+001	7.857843e+001
8.149718591408756e-003	7.861037e+001	7.862537e+001
8.159718591408759e-003	7.865685e+001	7.867184e+001
8.169718591408762e-003	7.870286e+001	7.871785e+001
8.189718591408768e-003	7.879350e+001	7.880850e+001
8.199718591408771e-003	7.891304e+001	7.892804e+001
8.205348921313645e-003	7.915768e+001	7.917268e+001
8.211473431958646e-003	7.963105e+001	7.964605e+001
8.229346696251846e-003	8.117029e+001	8.118529e+001
8.239346696251849e-003	8.202039e+001	8.203538e+001
8.249346696251853e-003	8.286209e+001	8.287708e+001
8.259346696251856e-003	8.369541e+001	8.371040e+001
8.279346696251862e-003	8.533725e+001	8.535224e+001
8.309346696251871e-003	8.773921e+001	8.775421e+001
8.326489553394734e-003	8.907879e+001	8.909379e+001
8.343632410537595e-003	9.039651e+001	9.041151e+001
8.360775267680459e-003	9.169239e+001	9.170739e+001
8.377918124823320e-003	9.296641e+001	9.298141e+001
8.395060981966183e-003	9.421859e+001	9.423359e+001
8.412203839109044e-003	9.544892e+001	9.546392e+001
8.429346696251908e-003	9.665739e+001	9.667239e+001
8.439346696251911e-003	9.714606e+001	7.285546e+001
8.449346696251914e-003	9.700798e+001	2.434815e+001
8.459346696251917e-003	9.624939e+001	7.500963e-003
8.465200160801200e-003	9.568697e+001	7.500957e-003
8.471053625350482e-003	9.512779e+001	7.500952e-003
8.476907089899765e-003	9.457185e+001	7.500946e-003
8.482760554449050e-003	9.401915e+001	7.500941e-003
8.488614018998333e-003	9.346969e+001	7.500935e-003
8.494467483547616e-003	9.292347e+001	7.500930e-003
8.500320948096898e-003	9.238049e+001	7.500925e-003
8.543586802764604e-003	8.846843e+001	7.500885e-003
8.553586802764607e-003	8.779486e+001	2.189499e+001
8.563586802764610e-003	8.774989e+001	6.586667e+001
8.573586802764613e-003	8.832725e+001	8.834224e+001
8.606443945621765e-003	9.085123e+001	9.086622e+001
8.639301088478919e-003	9.329973e+001	9.331473e+001
8.672158231336071e-003	9.567277e+001	9.568776e+001
8.705015374193225e-003	9.797033e+001	9.798533e+001
8.737872517050377e-003	1.001924e+002	1.002074e+002
8.770729659907531e-003	1.023390e+002	1.023540e+002
8.803586802764683e-003	1.044102e+002	1.044252e+002
8.813586802764686e-003	1.049253e+002	1.049403e+002
8.823586802764689e-003	1.051244e+002	1.051394e+002
8.833586802764692e-003	1.050105e+002	1.050255e+002
8.863586802764702e-003	1.043678e+002	1.043828e+002
8.873586802764705e-003	1.040541e+002	1.040691e+002
8.883586802764708e-003	1.034327e+002	1.034477e+002
8.893586802764711e-003	1.025065e+002	1.025215e+002
