time	beta	alpha
4.334780789874208e-003	-1.448868e+002	4.424327e+001
4.403352218445657e-003	-1.468168e+002	4.642269e+001
4.413352218445660e-003	-1.469863e+002	4.679856e+001
4.423352218445663e-003	-1.468311e+002	4.736005e+001
4.433352218445666e-003	-1.463524e+002	4.810643e+001
4.523352218445693e-003	-1.411724e+002	5.524351e+001
4.533352218445697e-003	-1.406082e+002	5.589601e+001
4.543352218445700e-003	-1.400464e+002	5.617165e+001
4.553352218445703e-003	-1.394867e+002	5.607194e+001
4.761904761904835e-003	-1.283115e+002	5.157964e+001
4.956904761904891e-003	-1.186748e+002	4.770580e+001
4.966904761904895e-003	-1.182006e+002	4.763992e+001
4.976904761904898e-003	-1.177282e+002	4.794855e+001
4.986904761904901e-003	-1.172578e+002	4.863020e+001
5.136904761904947e-003	-1.104226e+002	6.035389e+001
5.146904761904950e-003	-1.100894e+002	6.104835e+001
5.156904761904953e-003	-1.100816e+002	6.155290e+001
5.166904761904956e-003	-1.103980e+002	6.186831e+001
5.225476190476403e-003	-1.128493e+002	6.332686e+001
5.284047619047849e-003	-1.152469e+002	6.475347e+001
5.342619047619296e-003	-1.175909e+002	6.614814e+001
5.401190476190742e-003	-1.198811e+002	6.751086e+001
5.459761904762188e-003	-1.221177e+002	6.884164e+001
5.518333333333635e-003	-1.243006e+002	7.014048e+001
5.576904761905081e-003	-1.264298e+002	7.140737e+001
5.586904761905084e-003	-1.266808e+002	7.155865e+001
5.596904761905087e-003	-1.266068e+002	7.152221e+001
5.606904761905091e-003	-1.262089e+002	7.129878e+001
5.714285714285783e-003	-1.208970e+002	6.829795e+001
5.819285714285812e-003	-1.159201e+002	6.548636e+001
5.829285714285815e-003	-1.155649e+002	6.528705e+001
5.839285714285818e-003	-1.155352e+002	6.527567e+001
5.849285714285821e-003	-1.158298e+002	6.545145e+001
6.199285714285928e-003	-1.289664e+002	7.322190e+001
6.209285714285931e-003	-1.292073e+002	7.349068e+001
6.219285714285934e-003	-1.291231e+002	7.394552e+001
6.229285714285937e-003	-1.287152e+002	7.458566e+001
6.267857142857378e-003	-1.267437e+002	7.726858e+001
6.306428571428818e-003	-1.248013e+002	7.991191e+001
6.345000000000258e-003	-1.228880e+002	8.251565e+001
6.383571428571698e-003	-1.210038e+002	8.507980e+001
6.422142857143139e-003	-1.191487e+002	8.760435e+001
6.460714285714580e-003	-1.173227e+002	9.008931e+001
6.499285714286020e-003	-1.155258e+002	9.253468e+001
6.509285714286023e-003	-1.150641e+002	9.303816e+001
6.519285714286026e-003	-1.146044e+002	9.316538e+001
6.529285714286029e-003	-1.141464e+002	9.291785e+001
6.666666666666744e-003	-1.080366e+002	8.794436e+001
6.791666666666779e-003	-1.027629e+002	8.365141e+001
6.801666666666782e-003	-1.023523e+002	8.344189e+001
6.811666666666785e-003	-1.019433e+002	8.360746e+001
6.821666666666788e-003	-1.015359e+002	8.414661e+001
6.870238095238232e-003	-9.958205e+001	8.733329e+001
6.918809523809675e-003	-9.766411e+001	9.046143e+001
6.967380952381119e-003	-9.578206e+001	9.353103e+001
7.015952380952562e-003	-9.393590e+001	9.654209e+001
7.064523809524006e-003	-9.212564e+001	9.949461e+001
7.113095238095449e-003	-9.035127e+001	1.023886e+002
7.161666666666892e-003	-8.861279e+001	1.052240e+002
7.171666666666896e-003	-8.836673e+001	1.057392e+002
7.181666666666899e-003	-8.844576e+001	1.060651e+002
7.191666666666902e-003	-8.884859e+001	1.062027e+002
7.225952380952626e-003	-9.058536e+001	1.064571e+002
7.260238095238352e-003	-9.229924e+001	1.067083e+002
7.294523809524076e-003	-9.399022e+001	1.069560e+002
7.328809523809801e-003	-9.565831e+001	1.072004e+002
7.363095238095526e-003	-9.730350e+001	1.074415e+002
7.397380952381251e-003	-9.892580e+001	1.076792e+002
7.431666666666975e-003	-1.005252e+002	1.079135e+002
7.441666666666978e-003	-1.008798e+002	1.079189e+002
7.451666666666981e-003	-1.009088e+002	1.077372e+002
7.461666666666984e-003	-1.006136e+002	1.073690e+002
7.619047619047692e-003	-9.446864e+001	1.008115e+002
7.794047619047742e-003	-8.807617e+001	9.398981e+001
7.804047619047745e-003	-8.783225e+001	9.367660e+001
7.814047619047748e-003	-8.791342e+001	9.355177e+001
7.824047619047751e-003	-8.831838e+001	9.361456e+001
8.004047619047806e-003	-9.721704e+001	9.578830e+001
8.014047619047809e-003	-9.758482e+001	9.596690e+001
8.024047619047812e-003	-9.762702e+001	9.633192e+001
8.034047619047816e-003	-9.734494e+001	9.688261e+001
8.094047619047834e-003	-9.503733e+001	1.005064e+002
8.154047619047852e-003	-9.278140e+001	1.040491e+002
8.214047619047871e-003	-9.057716e+001	1.075105e+002
8.274047619047889e-003	-8.842461e+001	1.108908e+002
8.334047619047907e-003	-8.632375e+001	1.141900e+002
8.394047619047926e-003	-8.427457e+001	1.174079e+002
8.454047619047944e-003	-8.227708e+001	1.205447e+002
8.464047619047947e-003	-8.194830e+001	1.209363e+002
8.474047619047950e-003	-8.162083e+001	1.209520e+002
8.484047619047953e-003	-8.129467e+001	1.205935e+002
8.571428571428653e-003	-7.849925e+001	1.164467e+002
8.656428571428676e-003	-7.587287e+001	1.125507e+002
8.666428571428679e-003	-7.556968e+001	1.122257e+002
8.676428571428682e-003	-7.526770e+001	1.122762e+002
8.686428571428685e-003	-7.496693e+001	1.127008e+002
8.715000000000122e-003	-7.411447e+001	1.142592e+002
8.743571428571561e-003	-7.327143e+001	1.158004e+002
8.772142857142997e-003	-7.243782e+001	1.173244e+002
8.800714285714434e-003	-7.161364e+001	1.188311e+002
8.829285714285871e-003	-7.079889e+001	1.203206e+002
8.857857142857310e-003	-6.999356e+001	1.217928e+002
8.886428571428746e-003	-6.919766e+001	1.232478e+002
8.927857142857331e-003	-6.806003e+001	1.253276e+002
8.969285714285914e-003	-6.694036e+001	1.273745e+002
9.010714285714499e-003	-6.583868e+001	1.293885e+002
9.052142857143083e-003	-6.475496e+001	1.313697e+002
9.093571428571668e-003	-6.368921e+001	1.333180e+002
9.135000000000251e-003	-6.264144e+001	1.352334e+002
9.176428571428835e-003	-6.161164e+001	1.371161e+002
9.186428571428838e-003	-6.147348e+001	1.375038e+002
9.196428571428841e-003	-6.165998e+001	1.377028e+002
9.206428571428844e-003	-6.216984e+001	1.377139e+002
9.256428571428860e-003	-6.522465e+001	1.374594e+002
9.266428571428863e-003	-6.572028e+001	1.373468e+002
9.276428571428866e-003	-6.588981e+001	1.370475e+002
9.286428571428869e-003	-6.573455e+001	1.365622e+002
9.523809523809601e-003	-5.977414e+001	1.241796e+002
9.788809523809679e-003	-5.375685e+001	1.116788e+002
9.798809523809682e-003	-5.365007e+001	1.112949e+002
9.808809523809685e-003	-5.386784e+001	1.110996e+002
9.818809523809688e-003	-5.430655e+001	1.111514e+002
9.827806521119892e-003	-5.450442e+001	1.114228e+002
9.836971532794905e-003	-5.440291e+001	1.118728e+002
9.926971532794933e-003	-5.247737e+001	1.167529e+002
9.989828675652094e-003	-5.117503e+001	1.200535e+002
1.005268581850926e-002	-4.990316e+001	1.232769e+002
1.011554296136642e-002	-4.866175e+001	1.264231e+002
1.017840010422358e-002	-4.745080e+001	1.294921e+002
1.024125724708074e-002	-4.627031e+001	1.324839e+002
1.030411438993791e-002	-4.512028e+001	1.353985e+002
1.036697153279507e-002	-4.400070e+001	1.382359e+002
1.037697153279507e-002	-4.382488e+001	1.385568e+002
1.038697153279507e-002	-4.364975e+001	1.385021e+002
1.039697153279508e-002	-4.347533e+001	1.380734e+002
1.047619047619056e-002	-4.211779e+001	1.337620e+002
1.056001889128378e-002	-4.072774e+001	1.293473e+002
1.057001889128378e-002	-4.056499e+001	1.289552e+002
1.058001889128379e-002	-4.040290e+001	1.289389e+002
1.059001889128379e-002	-4.024145e+001	1.292969e+002
1.065859031985524e-002	-3.915352e+001	1.325534e+002
1.072716174842669e-002	-3.809318e+001	1.357272e+002
1.079573317699814e-002	-3.706041e+001	1.388186e+002
1.086430460556959e-002	-3.605523e+001	1.418274e+002
1.093287603414104e-002	-3.507763e+001	1.447536e+002
1.100144746271249e-002	-3.412760e+001	1.475973e+002
1.107001889128394e-002	-3.320516e+001	1.503584e+002
1.108001889128394e-002	-3.296443e+001	1.506932e+002
1.109001889128394e-002	-3.240056e+001	1.508395e+002
1.110001889128395e-002	-3.151483e+001	1.507981e+002
1.119001889128397e-002	-2.274390e+001	1.498806e+002
1.120001889128398e-002	-2.189676e+001	1.497183e+002
1.121001889128398e-002	-2.137711e+001	1.493695e+002
1.122001889128398e-002	-2.118365e+001	1.488350e+002
1.142857142857151e-002	-1.948649e+001	1.369108e+002
1.162357142857157e-002	-1.802297e+001	1.266283e+002
1.163357142857157e-002	-1.784292e+001	1.261847e+002
1.164357142857157e-002	-1.733947e+001	1.259299e+002
1.165357142857158e-002	-1.651392e+001	1.258633e+002
1.180357142857162e-002	-2.943303e+000	1.258057e+002
1.181357142857163e-002	-2.175283e+000	1.258644e+002
1.182357142857163e-002	-1.734440e+000	1.261099e+002
1.183357142857163e-002	-1.619476e+000	1.265416e+002
1.189214285714308e-002	-1.581987e+000	1.293938e+002
1.195071428571452e-002	-1.545319e+000	1.321835e+002
1.200928571428597e-002	-1.509471e+000	1.349107e+002
1.206785714285742e-002	-1.474445e+000	1.375755e+002
1.212642857142886e-002	-1.440239e+000	1.401778e+002
1.218500000000031e-002	-1.406854e+000	1.427177e+002
1.224357142857176e-002	-1.374290e+000	1.451951e+002
1.225357142857176e-002	-1.368802e+000	1.454881e+002
1.226357142857176e-002	-1.363331e+000	1.454058e+002
1.227357142857177e-002	-1.357882e+000	1.449495e+002
1.238095238095247e-002	-1.300734e+000	1.388488e+002
1.248595238095250e-002	-1.247184e+000	1.331329e+002
1.249595238095250e-002	-1.242203e+000	1.327256e+002
1.250595238095251e-002	-1.237238e+000	1.326943e+002
