time	beta	alpha
2.285714285714296e-002	1.374297e+002	-1.032385e+001
2.312214285714286e-002	1.235951e+002	-9.284581e+000
2.313214285714286e-002	1.232092e+002	-9.185105e+000
2.314214285714285e-002	1.231490e+002	-8.898901e+000
2.315214285714285e-002	1.234132e+002	-8.544849e+000
2.316113985419225e-002	1.237472e+002	-8.509204e+000
2.317030486565044e-002	1.240862e+002	-8.822112e+000
2.324601915136469e-002	1.268336e+002	-1.228019e+001
2.332173343707895e-002	1.295048e+002	-1.564225e+001
2.339744772279321e-002	1.320996e+002	-1.890829e+001
2.347316200850746e-002	1.346182e+002	-2.207831e+001
2.354887629422172e-002	1.370605e+002	-2.515230e+001
2.362459057993598e-002	1.394265e+002	-2.813028e+001
2.370030486565023e-002	1.417162e+002	-3.101223e+001
2.371030486565023e-002	1.419061e+002	-3.132493e+001
2.372030486565022e-002	1.417712e+002	-3.144926e+001
2.373030486565022e-002	1.413127e+002	-3.138596e+001
2.380952380952391e-002	1.369002e+002	-3.040592e+001
2.389335222533446e-002	1.323819e+002	-2.940240e+001
2.390335222533446e-002	1.319610e+002	-2.934729e+001
2.391335222533445e-002	1.318658e+002	-2.947952e+001
2.392335222533445e-002	1.320951e+002	-2.979834e+001
2.399192365390585e-002	1.343713e+002	-3.236874e+001
2.406049508247725e-002	1.365898e+002	-3.487397e+001
2.412906651104865e-002	1.387506e+002	-3.731404e+001
2.419763793962006e-002	1.408537e+002	-3.968894e+001
2.426620936819146e-002	1.428991e+002	-4.199869e+001
2.433478079676286e-002	1.448868e+002	-4.424327e+001
2.440335222533426e-002	1.468168e+002	-4.642269e+001
2.441335222533426e-002	1.469863e+002	-4.679856e+001
2.442335222533425e-002	1.468311e+002	-4.736005e+001
2.443335222533425e-002	1.463524e+002	-4.810643e+001
2.452335222533422e-002	1.411724e+002	-5.524351e+001
2.453335222533421e-002	1.406083e+002	-5.589601e+001
2.454335222533421e-002	1.400464e+002	-5.617165e+001
2.455335222533420e-002	1.394867e+002	-5.607193e+001
2.476190476190487e-002	1.283115e+002	-5.157963e+001
2.495690476190480e-002	1.186748e+002	-4.770579e+001
2.496690476190479e-002	1.182006e+002	-4.763991e+001
2.497690476190479e-002	1.177283e+002	-4.794854e+001
2.498690476190479e-002	1.172578e+002	-4.863019e+001
2.513690476190473e-002	1.104226e+002	-6.035389e+001
2.514690476190473e-002	1.100894e+002	-6.104835e+001
2.515690476190472e-002	1.100816e+002	-6.155290e+001
2.516690476190472e-002	1.103980e+002	-6.186831e+001
2.522547619047612e-002	1.128493e+002	-6.332686e+001
2.528404761904753e-002	1.152469e+002	-6.475347e+001
2.534261904761893e-002	1.175909e+002	-6.614813e+001
2.540119047619034e-002	1.198811e+002	-6.751086e+001
2.545976190476175e-002	1.221177e+002	-6.884164e+001
2.551833333333315e-002	1.243006e+002	-7.014048e+001
2.557690476190456e-002	1.264298e+002	-7.140737e+001
2.558690476190455e-002	1.266808e+002	-7.155865e+001
2.559690476190455e-002	1.266068e+002	-7.152220e+001
2.560690476190455e-002	1.262089e+002	-7.129877e+001
2.571428571428582e-002	1.208970e+002	-6.829795e+001
2.581928571428579e-002	1.159201e+002	-6.548636e+001
2.582928571428578e-002	1.155649e+002	-6.528705e+001
2.583928571428578e-002	1.155352e+002	-6.527566e+001
2.584928571428578e-002	1.158298e+002	-6.545145e+001
2.619928571428564e-002	1.289664e+002	-7.322190e+001
2.620928571428564e-002	1.292073e+002	-7.349068e+001
2.621928571428563e-002	1.291231e+002	-7.394552e+001
2.622928571428563e-002	1.287152e+002	-7.458566e+001
2.626785714285704e-002	1.267437e+002	-7.726858e+001
2.630642857142846e-002	1.248013e+002	-7.991191e+001
2.634499999999987e-002	1.228880e+002	-8.251565e+001
2.638357142857128e-002	1.210038e+002	-8.507980e+001
2.642214285714270e-002	1.191487e+002	-8.760435e+001
2.646071428571411e-002	1.173227e+002	-9.008931e+001
2.649928571428552e-002	1.155258e+002	-9.253468e+001
2.650928571428552e-002	1.150641e+002	-9.303816e+001
2.651928571428552e-002	1.146044e+002	-9.316538e+001
2.652928571428551e-002	1.141464e+002	-9.291785e+001
2.666666666666678e-002	1.080366e+002	-8.794436e+001
2.679166666666673e-002	1.027629e+002	-8.365141e+001
2.680166666666673e-002	1.023523e+002	-8.344189e+001
2.681166666666673e-002	1.019433e+002	-8.360746e+001
2.682166666666672e-002	1.015359e+002	-8.414661e+001
2.687023809523813e-002	9.958206e+001	-8.733329e+001
2.691880952380954e-002	9.766412e+001	-9.046143e+001
2.696738095238095e-002	9.578207e+001	-9.353103e+001
2.701595238095236e-002	9.393591e+001	-9.654209e+001
2.706452380952377e-002	9.212565e+001	-9.949461e+001
2.711309523809518e-002	9.035127e+001	-1.023886e+002
2.716166666666659e-002	8.861279e+001	-1.052240e+002
2.717166666666659e-002	8.836673e+001	-1.057392e+002
2.718166666666658e-002	8.844576e+001	-1.060651e+002
2.719166666666658e-002	8.884859e+001	-1.062027e+002
2.722595238095228e-002	9.058536e+001	-1.064571e+002
2.726023809523798e-002	9.229924e+001	-1.067083e+002
2.729452380952368e-002	9.399022e+001	-1.069560e+002
2.732880952380938e-002	9.565831e+001	-1.072004e+002
2.736309523809509e-002	9.730350e+001	-1.074415e+002
2.739738095238078e-002	9.892580e+001	-1.076792e+002
2.743166666666649e-002	1.005252e+002	-1.079135e+002
2.744166666666648e-002	1.008798e+002	-1.079189e+002
2.745166666666648e-002	1.009088e+002	-1.077372e+002
2.746166666666648e-002	1.006136e+002	-1.073690e+002
2.761904761904773e-002	9.446864e+001	-1.008115e+002
2.779404761904767e-002	8.807617e+001	-9.398981e+001
2.780404761904767e-002	8.783225e+001	-9.367660e+001
2.781404761904766e-002	8.791342e+001	-9.355177e+001
2.782404761904766e-002	8.831838e+001	-9.361456e+001
2.800404761904759e-002	9.721704e+001	-9.578830e+001
2.801404761904758e-002	9.758482e+001	-9.596690e+001
2.802404761904758e-002	9.762702e+001	-9.633192e+001
2.803404761904758e-002	9.734494e+001	-9.688261e+001
2.809404761904755e-002	9.503733e+001	-1.005064e+002
2.815404761904753e-002	9.278140e+001	-1.040491e+002
2.821404761904751e-002	9.057716e+001	-1.075105e+002
2.827404761904748e-002	8.842461e+001	-1.108908e+002
2.833404761904746e-002	8.632375e+001	-1.141900e+002
2.839404761904744e-002	8.427457e+001	-1.174079e+002
2.845404761904741e-002	8.227708e+001	-1.205447e+002
2.846404761904741e-002	8.194830e+001	-1.209363e+002
2.847404761904741e-002	8.162083e+001	-1.209520e+002
2.848404761904740e-002	8.129467e+001	-1.205935e+002
2.857142857142869e-002	7.849925e+001	-1.164467e+002
2.865642857142866e-002	7.587287e+001	-1.125507e+002
2.866642857142866e-002	7.556968e+001	-1.122257e+002
2.867642857142865e-002	7.526770e+001	-1.122762e+002
2.868642857142865e-002	7.496693e+001	-1.127008e+002
2.871500000000006e-002	7.411447e+001	-1.142592e+002
2.874357142857148e-002	7.327143e+001	-1.158004e+002
2.877214285714290e-002	7.243782e+001	-1.173244e+002
2.880071428571432e-002	7.161364e+001	-1.188311e+002
2.882928571428573e-002	7.079889e+001	-1.203206e+002
2.885785714285715e-002	6.999356e+001	-1.217928e+002
2.888642857142857e-002	6.919766e+001	-1.232478e+002
2.892785714285713e-002	6.806003e+001	-1.253276e+002
2.896928571428568e-002	6.694037e+001	-1.273745e+002
2.901071428571424e-002	6.583868e+001	-1.293885e+002
2.905214285714279e-002	6.475496e+001	-1.313697e+002
2.909357142857135e-002	6.368922e+001	-1.333180e+002
2.913499999999990e-002	6.264144e+001	-1.352334e+002
2.917642857142846e-002	6.161164e+001	-1.371161e+002
2.918642857142845e-002	6.147348e+001	-1.375038e+002
2.919642857142845e-002	6.165998e+001	-1.377028e+002
2.920642857142845e-002	6.216984e+001	-1.377139e+002
2.925642857142843e-002	6.522465e+001	-1.374594e+002
2.926642857142842e-002	6.572028e+001	-1.373468e+002
2.927642857142842e-002	6.588981e+001	-1.370474e+002
2.928642857142842e-002	6.573455e+001	-1.365622e+002
2.952380952380964e-002	5.977414e+001	-1.241796e+002
2.978880952380954e-002	5.375685e+001	-1.116788e+002
2.979880952380954e-002	5.365007e+001	-1.112949e+002
2.980880952380954e-002	5.386784e+001	-1.110996e+002
2.981880952380953e-002	5.430655e+001	-1.111514e+002
2.982780652085978e-002	5.450442e+001	-1.114228e+002
2.983697153231867e-002	5.440291e+001	-1.118728e+002
2.991268581803293e-002	5.278184e+001	-1.159812e+002
2.998840010374719e-002	5.120579e+001	-1.199755e+002
3.006411438946144e-002	4.967475e+001	-1.238558e+002
3.013982867517570e-002	4.818872e+001	-1.276219e+002
3.021554296088995e-002	4.674770e+001	-1.312740e+002
3.029125724660421e-002	4.535170e+001	-1.348120e+002
3.036697153231847e-002	4.400070e+001	-1.382359e+002
3.037697153231846e-002	4.382488e+001	-1.385568e+002
3.038697153231846e-002	4.364975e+001	-1.385021e+002
3.039697153231846e-002	4.347533e+001	-1.380734e+002
3.047619047619059e-002	4.211779e+001	-1.337620e+002
3.056001889199882e-002	4.072774e+001	-1.293473e+002
3.057001889199882e-002	4.056499e+001	-1.289552e+002
3.058001889199882e-002	4.040290e+001	-1.289389e+002
3.059001889199881e-002	4.024145e+001	-1.292969e+002
3.065859032057021e-002	3.915352e+001	-1.325534e+002
3.072716174914162e-002	3.809318e+001	-1.357272e+002
3.079573317771302e-002	3.706041e+001	-1.388186e+002
3.086430460628442e-002	3.605523e+001	-1.418274e+002
3.093287603485582e-002	3.507763e+001	-1.447536e+002
3.100144746342723e-002	3.412760e+001	-1.475973e+002
3.107001889199863e-002	3.320516e+001	-1.503584e+002
3.108001889199862e-002	3.296443e+001	-1.506932e+002
3.109001889199862e-002	3.240056e+001	-1.508395e+002
3.110001889199861e-002	3.151483e+001	-1.507981e+002
3.119001889199858e-002	2.274390e+001	-1.498806e+002
3.120001889199858e-002	2.189676e+001	-1.497183e+002
3.121001889199857e-002	2.137711e+001	-1.493695e+002
3.122001889199857e-002	2.118365e+001	-1.488350e+002
3.142857142857155e-002	1.948649e+001	-1.369108e+002
3.162357142857148e-002	1.802298e+001	-1.266283e+002
3.163357142857148e-002	1.784292e+001	-1.261847e+002
3.164357142857147e-002	1.733947e+001	-1.259299e+002
3.165357142857147e-002	1.651392e+001	-1.258633e+002
3.180357142857141e-002	2.943303e+000	-1.258057e+002
3.181357142857141e-002	2.175283e+000	-1.258644e+002
3.182357142857140e-002	1.734440e+000	-1.261099e+002
3.183357142857140e-002	1.619476e+000	-1.265416e+002
3.189214285714281e-002	1.581987e+000	-1.293938e+002
3.195071428571421e-002	1.545319e+000	-1.321835e+002
3.200928571428562e-002	1.509471e+000	-1.349107e+002
3.206785714285702e-002	1.474445e+000	-1.375755e+002
3.212642857142843e-002	1.440239e+000	-1.401778e+002
3.218499999999983e-002	1.406854e+000	-1.427177e+002
3.224357142857124e-002	1.374290e+000	-1.451951e+002
3.225357142857124e-002	1.368802e+000	-1.454881e+002
3.226357142857123e-002	1.363331e+000	-1.454058e+002
3.227357142857123e-002	1.357882e+000	-1.449495e+002
3.238095238095250e-002	1.300734e+000	-1.388488e+002
3.248595238095247e-002	1.247184e+000	-1.331329e+002
3.249595238095247e-002	1.242203e+000	-1.327256e+002
3.250595238095246e-002	1.237238e+000	-1.326943e+002
3.251595238095246e-002	1.232292e+000	-1.330373e+002
3.286595238095232e-002	1.071154e+000	-1.482991e+002
3.287595238095232e-002	9.588352e-001	-1.486421e+002
3.288595238095231e-002	5.228537e-001	-1.487966e+002
3.289595238095231e-002	-2.354868e-001	-1.487634e+002
3.293452380952373e-002	-3.544707e+000	-1.483975e+002
3.297309523809514e-002	-6.805092e+000	-1.480371e+002
3.301166666666655e-002	-1.001664e+001	-1.476820e+002
3.305023809523797e-002	-1.317936e+001	-1.473323e+002
3.308880952380938e-002	-1.629323e+001	-1.469880e+002
3.312738095238079e-002	-1.935828e+001	-1.466491e+002
3.316595238095221e-002	-2.237449e+001	-1.463156e+002
3.317595238095220e-002	-2.304134e+001	-1.461676e+002
3.318595238095220e-002	-2.338141e+001	-1.458330e+002
3.319595238095219e-002	-2.339602e+001	-1.453126e+002
3.333333333333346e-002	-2.214373e+001	-1.375347e+002
3.345833333333342e-002	-2.106280e+001	-1.308210e+002
3.346833333333341e-002	-2.108667e+001	-1.303606e+002
3.347833333333341e-002	-2.143455e+001	-1.300892e+002
3.348833333333341e-002	-2.210516e+001	-1.300060e+002
3.353690476190482e-002	-2.584182e+001	-1.299072e+002
3.358547619047622e-002	-2.950984e+001	-1.298103e+002
3.363404761904763e-002	-3.310921e+001	-1.297152e+002
3.368261904761905e-002	-3.663994e+001	-1.296219e+002
3.373119047619046e-002	-4.010203e+001	-1.295305e+002
3.377976190476186e-002	-4.349548e+001	-1.294408e+002
3.382833333333327e-002	-4.682028e+001	-1.293529e+002
3.383833333333327e-002	-4.738945e+001	-1.293974e+002
3.384833333333327e-002	-4.763222e+001	-1.296288e+002
3.385833333333326e-002	-4.754992e+001	-1.300465e+002
3.389261904761896e-002	-4.690191e+001	-1.316778e+002
3.392690476190467e-002	-4.626244e+001	-1.332876e+002
3.396119047619037e-002	-4.563152e+001	-1.348759e+002
3.399547619047606e-002	-4.500913e+001	-1.364427e+002
3.402976190476176e-002	-4.439529e+001	-1.379880e+002
3.406404761904747e-002	-4.378999e+001	-1.395118e+002
3.409833333333317e-002	-4.319324e+001	-1.410141e+002
3.410833333333316e-002	-4.302064e+001	-1.413239e+002
3.411833333333316e-002	-4.284873e+001	-1.412582e+002
3.412833333333316e-002	-4.267751e+001	-1.408185e+002
3.428571428571441e-002	-4.007098e+001	-1.322180e+002
3.446071428571435e-002	-3.735948e+001	-1.232711e+002
3.447071428571435e-002	-3.721019e+001	-1.229033e+002
3.448071428571434e-002	-3.706149e+001	-1.229111e+002
3.449071428571434e-002	-3.691340e+001	-1.232932e+002
3.467071428571427e-002	-3.434658e+001	-1.320866e+002
3.468071428571427e-002	-3.431737e+001	-1.324944e+002
3.469071428571426e-002	-3.461238e+001	-1.327134e+002
3.470071428571426e-002	-3.523033e+001	-1.327445e+002
3.476071428571424e-002	-3.952245e+001	-1.325579e+002
3.482071428571421e-002	-4.371842e+001	-1.323756e+002
3.488071428571419e-002	-4.781827e+001	-1.321974e+002
3.494071428571417e-002	-5.182197e+001	-1.320234e+002
3.500071428571414e-002	-5.572954e+001	-1.318535e+002
3.506071428571412e-002	-5.954097e+001	-1.316879e+002
3.512071428571410e-002	-6.325627e+001	-1.315264e+002
3.513071428571409e-002	-6.375975e+001	-1.314375e+002
3.514071428571409e-002	-6.393712e+001	-1.311617e+002
3.515071428571408e-002	-6.378966e+001	-1.307000e+002
3.523809523809537e-002	-6.159617e+001	-1.262057e+002
3.532309523809534e-002	-5.953532e+001	-1.219832e+002
3.533309523809534e-002	-5.940546e+001	-1.215581e+002
3.534309523809533e-002	-5.960022e+001	-1.213219e+002
3.535309523809533e-002	-6.011831e+001	-1.212737e+002
3.538166666666675e-002	-6.189418e+001	-1.213146e+002
3.541023809523816e-002	-6.365040e+001	-1.213551e+002
3.543880952380958e-002	-6.538698e+001	-1.213952e+002
3.546738095238100e-002	-6.710393e+001	-1.214348e+002
3.549595238095242e-002	-6.880123e+001	-1.214739e+002
3.552452380952383e-002	-7.047889e+001	-1.215126e+002
3.555309523809525e-002	-7.213691e+001	-1.215508e+002
3.559452380952381e-002	-7.450684e+001	-1.216055e+002
3.563595238095237e-002	-7.683933e+001	-1.216593e+002
3.567738095238092e-002	-7.913438e+001	-1.217122e+002
3.571880952380947e-002	-8.139198e+001	-1.217643e+002
3.576023809523803e-002	-8.361215e+001	-1.218155e+002
3.580166666666659e-002	-8.579488e+001	-1.218658e+002
3.584309523809514e-002	-8.794017e+001	-1.219153e+002
3.585309523809514e-002	-8.834502e+001	-1.219895e+002
3.586309523809513e-002	-8.842414e+001	-1.222505e+002
3.587309523809513e-002	-8.817884e+001	-1.226976e+002
3.592309523809511e-002	-8.643104e+001	-1.252159e+002
3.593309523809510e-002	-8.608566e+001	-1.255888e+002
3.594309523809510e-002	-8.574166e+001	-1.255860e+002
3.595309523809510e-002	-8.539904e+001	-1.252089e+002
3.619047619047632e-002	-7.765558e+001	-1.138557e+002
3.645547619047623e-002	-6.983822e+001	-1.023942e+002
3.646547619047622e-002	-6.955914e+001	-1.021098e+002
3.647547619047622e-002	-6.928119e+001	-1.022007e+002
3.648547619047621e-002	-6.910666e+001	-1.026066e+002
3.649447318752654e-002	-6.924280e+001	-1.029136e+002
3.650363819898551e-002	-6.968325e+001	-1.030507e+002
3.657935248469976e-002	-7.405176e+001	-1.037010e+002
3.665506677041402e-002	-7.829897e+001	-1.043333e+002
3.673078105612827e-002	-8.242487e+001	-1.049475e+002
3.680649534184254e-002	-8.642947e+001	-1.055436e+002
3.688220962755679e-002	-9.031277e+001	-1.061217e+002
3.695792391327105e-002	-9.407477e+001	-1.066817e+002
3.703363819898530e-002	-9.771546e+001	-1.072237e+002
3.704363819898530e-002	-9.808125e+001	-1.072318e+002
3.705363819898529e-002	-9.812146e+001	-1.070528e+002
3.706363819898529e-002	-9.783740e+001	-1.066874e+002
3.714285714285728e-002	-9.478240e+001	-1.033561e+002
3.722668555866527e-002	-9.165421e+001	-9.994492e+001
3.723668555866527e-002	-9.139598e+001	-9.960792e+001
3.724668555866526e-002	-9.146292e+001	-9.945939e+001
3.725668555866526e-002	-9.185368e+001	-9.949857e+001
3.732525698723666e-002	-9.521781e+001	-1.001846e+002
3.739382841580806e-002	-9.849666e+001	-1.008533e+002
3.746239984437946e-002	-1.016902e+002	-1.015046e+002
3.753097127295087e-002	-1.047985e+002	-1.021384e+002
3.759954270152227e-002	-1.078215e+002	-1.027549e+002
3.766811413009367e-002	-1.107592e+002	-1.033540e+002
3.773668555866507e-002	-1.136116e+002	-1.039357e+002
3.774668555866507e-002	-1.140219e+002	-1.038946e+002
3.775668555866506e-002	-1.144306e+002	-1.034795e+002
3.776668555866506e-002	-1.148376e+002	-1.026917e+002
3.785668555866503e-002	-1.184285e+002	-9.463710e+001
3.786668555866502e-002	-1.187115e+002	-9.382231e+001
3.787668555866502e-002	-1.186693e+002	-9.319789e+001
3.788668555866501e-002	-1.183031e+002	-9.276310e+001
3.809523809523823e-002	-1.088250e+002	-8.533121e+001
3.829023809523816e-002	-1.006518e+002	-7.892250e+001
3.830023809523816e-002	-1.003577e+002	-7.854475e+001
3.831023809523815e-002	-1.003888e+002	-7.798138e+001
3.832023809523815e-002	-1.007439e+002	-7.723315e+001
3.847023809523809e-002	-1.074793e+002	-6.545184e+001
3.848023809523809e-002	-1.079141e+002	-6.481605e+001
3.849023809523808e-002	-1.083472e+002	-6.455704e+001
3.850023809523808e-002	-1.087785e+002	-6.467332e+001
3.855880952380949e-002	-1.112673e+002	-6.606694e+001
3.861738095238089e-002	-1.137016e+002	-6.743004e+001
3.867595238095230e-002	-1.160814e+002	-6.876261e+001
3.873452380952371e-002	-1.184067e+002	-7.006467e+001
3.879309523809511e-002	-1.206775e+002	-7.133620e+001
3.885166666666651e-002	-1.228937e+002	-7.257722e+001
3.891023809523792e-002	-1.250555e+002	-7.378771e+001
3.892023809523792e-002	-1.253120e+002	-7.392949e+001
3.893023809523791e-002	-1.252434e+002	-7.388356e+001
3.894023809523791e-002	-1.248510e+002	-7.365070e+001
3.904761904761919e-002	-1.195963e+002	-7.055089e+001
3.915261904761915e-002	-1.146729e+002	-6.764655e+001
3.916261904761915e-002	-1.143227e+002	-6.743861e+001
3.917261904761914e-002	-1.142980e+002	-6.741862e+001
3.918261904761914e-002	-1.145975e+002	-6.758584e+001
3.953261904761900e-002	-1.278952e+002	-7.507719e+001
3.954261904761900e-002	-1.282484e+002	-7.515144e+001
3.955261904761900e-002	-1.286002e+002	-7.485113e+001
3.956261904761899e-002	-1.289507e+002	-7.417778e+001
3.959404761904755e-002	-1.300424e+002	-7.168954e+001
3.962547619047611e-002	-1.311210e+002	-6.923147e+001
3.965690476190467e-002	-1.321863e+002	-6.680357e+001
3.968833333333323e-002	-1.332383e+002	-6.440584e+001
3.971976190476179e-002	-1.342772e+002	-6.203828e+001
3.975119047619035e-002	-1.353027e+002	-5.970089e+001
3.978261904761891e-002	-1.363151e+002	-5.739367e+001
3.979261904761890e-002	-1.366347e+002	-5.666533e+001
3.983261904761889e-002	-1.379003e+002	-5.378093e+001
3.984261904761888e-002	-1.381055e+002	-5.312939e+001
3.985261904761888e-002	-1.379858e+002	-5.266759e+001
3.986261904761888e-002	-1.375424e+002	-5.239476e+001
3.999000000000014e-002	-1.307030e+002	-4.978940e+001
4.000000000000000e-002	-1.301804e+002	-4.959029e+001
